operator_id,total_records,incoming_records,outgoing_records,incoming_missed,incoming_answered_durations_sum,incoming_answered_count,outgoing_count,avg_time_to_answer_incoming,incoming_missed_rate,outgoing_rate,flag_high_missed,flag_slow_answer,flag_low_outgoing,ineficaz
899912.0,1,1,0,0,189,1,0,189.0,0.0,0.0,False,False,True,False
899932.0,43,0,43,0,0,0,43,,,1.0,False,False,False,False
899964.0,29,0,29,0,0,0,29,,,1.0,False,False,False,False
899968.0,30,0,30,0,0,0,30,,,1.0,False,False,False,False
899972.0,32,0,32,0,0,0,32,,,1.0,False,False,False,False
900180.0,104,2,102,0,523,2,102,261.5,0.0,0.9807692307692307,False,False,False,False
900192.0,2,1,1,0,2,1,1,2.0,0.0,0.5,False,False,False,False
900194.0,62,36,26,2,10643,34,26,313.02941176470586,0.05555555555555555,0.41935483870967744,False,False,False,False
900352.0,136,57,79,1,25078,56,79,447.82142857142856,0.017543859649122806,0.5808823529411765,False,False,False,False
900354.0,149,47,102,3,17790,44,102,404.3181818181818,0.06382978723404255,0.6845637583892618,False,False,False,False
900458.0,11,1,10,0,9,1,10,9.0,0.0,0.9090909090909091,False,False,False,False
900492.0,103,15,88,1,1357,14,88,96.92857142857143,0.06666666666666667,0.8543689320388349,False,False,False,False
900592.0,81,40,41,0,23686,40,41,592.15,0.0,0.5061728395061729,False,False,False,False
900594.0,83,20,63,0,4347,20,63,217.35,0.0,0.7590361445783133,False,False,False,False
900614.0,35,12,23,0,1225,12,23,102.08333333333333,0.0,0.6571428571428571,False,False,False,False
900742.0,17,9,8,0,1098,9,8,122.0,0.0,0.47058823529411764,False,False,False,False
900746.0,30,11,19,2,1470,9,19,163.33333333333334,0.18181818181818182,0.6333333333333333,True,False,False,False
900788.0,80,42,38,1,16382,41,38,399.5609756097561,0.023809523809523808,0.475,False,False,False,False
900790.0,25,8,17,0,4504,8,17,563.0,0.0,0.68,False,False,False,False
900792.0,5,1,4,0,55,1,4,55.0,0.0,0.8,False,False,False,False
900826.0,165,46,119,0,10819,46,119,235.19565217391303,0.0,0.7212121212121212,False,False,False,False
900892.0,246,87,159,3,44721,84,159,532.3928571428571,0.034482758620689655,0.6463414634146342,False,False,False,False
900894.0,134,44,90,1,14697,43,90,341.7906976744186,0.022727272727272728,0.6716417910447762,False,False,False,False
901034.0,17,10,7,0,1484,10,7,148.4,0.0,0.4117647058823529,False,False,False,False
901038.0,26,4,22,0,223,4,22,55.75,0.0,0.8461538461538461,False,False,False,False
901178.0,45,30,15,0,20405,30,15,680.1666666666666,0.0,0.3333333333333333,False,False,True,False
901350.0,32,32,0,0,3485,32,0,108.90625,0.0,0.0,False,False,True,False
901492.0,27,24,3,0,2966,24,3,123.58333333333333,0.0,0.1111111111111111,False,False,True,False
901498.0,4,4,0,0,198,4,0,49.5,0.0,0.0,False,False,True,False
901584.0,120,42,78,0,6566,42,78,156.33333333333334,0.0,0.65,False,False,False,False
901586.0,59,27,32,0,3028,27,32,112.14814814814815,0.0,0.5423728813559322,False,False,False,False
901588.0,45,19,26,0,1954,19,26,102.84210526315789,0.0,0.5777777777777777,False,False,False,False
901734.0,13,13,0,0,2300,13,0,176.92307692307693,0.0,0.0,False,False,True,False
901880.0,302,108,194,10,256328,98,194,2615.591836734694,0.09259259259259259,0.6423841059602649,False,True,False,False
901884.0,323,95,228,1,100956,94,228,1074.0,0.010526315789473684,0.7058823529411765,False,True,False,False
901886.0,155,50,105,0,16086,50,105,321.72,0.0,0.6774193548387096,False,False,False,False
901894.0,9,9,0,0,3101,9,0,344.55555555555554,0.0,0.0,False,False,True,False
901992.0,40,7,33,0,303,7,33,43.285714285714285,0.0,0.825,False,False,False,False
901996.0,5,1,4,0,226,1,4,226.0,0.0,0.8,False,False,False,False
902238.0,2,1,1,0,21,1,1,21.0,0.0,0.5,False,False,False,False
902510.0,121,26,95,2,17643,24,95,735.125,0.07692307692307693,0.7851239669421488,False,False,False,False
902532.0,110,34,76,1,35121,33,76,1064.2727272727273,0.029411764705882353,0.6909090909090909,False,True,False,False
902608.0,22,5,17,0,988,5,17,197.6,0.0,0.7727272727272727,False,False,False,False
902720.0,126,33,93,0,14680,33,93,444.8484848484849,0.0,0.7380952380952381,False,False,False,False
902742.0,65,0,65,0,0,0,65,,,1.0,False,False,False,False
902744.0,81,0,81,0,0,0,81,,,1.0,False,False,False,False
902746.0,74,0,74,0,0,0,74,,,1.0,False,False,False,False
902748.0,58,0,58,0,0,0,58,,,1.0,False,False,False,False
902774.0,56,0,56,0,0,0,56,,,1.0,False,False,False,False
902776.0,42,0,42,0,0,0,42,,,1.0,False,False,False,False
902778.0,48,0,48,0,0,0,48,,,1.0,False,False,False,False
902782.0,61,0,61,0,0,0,61,,,1.0,False,False,False,False
902906.0,39,39,0,0,5360,39,0,137.43589743589743,0.0,0.0,False,False,True,False
902910.0,20,20,0,1,1627,19,0,85.63157894736842,0.05,0.0,False,False,True,False
903254.0,221,69,152,0,21396,69,152,310.0869565217391,0.0,0.6877828054298643,False,False,False,False
903292.0,20,8,12,0,6896,8,12,862.0,0.0,0.6,False,False,False,False
903312.0,78,52,26,2,12510,50,26,250.2,0.038461538461538464,0.3333333333333333,False,False,True,False
903318.0,193,57,136,3,50260,54,136,930.7407407407408,0.05263157894736842,0.7046632124352331,False,False,False,False
903390.0,7,7,0,0,480,7,0,68.57142857142857,0.0,0.0,False,False,True,False
